학년도,모집시기,모집전형,모집단위,모집인원,경쟁률,학생부등급(70%),학생부등급(90%),예비순위
2025,수시,가천의약학,한의예과,7,28.4,2.54,3.42,-
2025,수시,가천의약학,약학과,12,53.5,2.69,3.44,7
2025,수시,가천의약학,의예과,33,26.8,2.16,2.87,14
2025,수시,가천바람개비,경영학과,30,28.4,3.88,4.3,23
2025,수시,가천바람개비,회계세무학과,10,13.9,3.93,4.1,5
2025,수시,가천바람개비,관광경영학과,8,44.9,3.99,4.77,9
2025,수시,가천바람개비,의료산업경영학과,6,14,3.75,4.11,0
2025,수시,가천바람개비,금융·빅데이터학부,15,15.9,4.02,4.77,9
2025,수시,가천바람개비,경제학과,10,22.3,4.06,4.38,10
2025,수시,가천바람개비,응용통계학과,7,14,4.12,4.13,5
2025,수시,가천바람개비,심리학과,8,40.9,3.65,3.77,5
2025,수시,가천바람개비,미디어커뮤니케이션학과,8,62,3.97,4.76,3
2025,수시,가천바람개비,사회복지학과,7,47.6,3.71,4.01,2
2025,수시,가천바람개비,유아교육학과,8,31.3,3.93,4.03,2
2025,수시,가천바람개비,패션산업학과,6,50.2,4.06,4.13,6
2025,수시,가천바람개비,AI인문대학,30,25.3,4.28,4.9,23
2025,수시,가천바람개비,법과대학,26,25.5,3.8,4.32,27
2025,수시,가천바람개비,도시계획·조경학부,7,25.9,4.22,4.28,2
2025,수시,가천바람개비,건축학부,11,37.6,3.94,4.13,5
2025,수시,가천바람개비,화공생명배터리공학부,36,12.9,3.7,4.15,21
2025,수시,가천바람개비,기계공학부,28,22.3,4.11,4.46,14
2025,수시,가천바람개비,토목환경공학과,6,26.8,3.68,3.88,3
2025,수시,가천바람개비,스마트팩토리전공,7,14,4.05,4.13,4
2025,수시,가천바람개비,신소재공학과,6,14.5,3.52,3.55,3
2025,수시,가천바람개비,식품생명공학과,6,37.3,3.52,3.96,4
2025,수시,가천바람개비,바이오나노학과,6,25.7,3.4,3.43,6
2025,수시,가천바람개비,생명과학과,6,51.5,3.93,4.14,4
2025,수시,가천바람개비,반도체물리학과,7,13.1,3.84,4.32,2
2025,수시,가천바람개비,화학과,7,31.3,3.52,3.58,1
2025,수시,가천바람개비,식품영양학과,6,35.7,3.7,3.94,2
2025,수시,가천바람개비,전기공학과,9,21.2,3.88,3.97,2
2025,수시,가천바람개비,스마트시티학과,7,17.6,4.61,4.78,4
2025,수시,가천바람개비,클라우드공학과,7,10.9,3.58,3.59,1
2025,수시,가천바람개비,컴퓨터공학과,21,25.7,3.81,4.1,16
2025,수시,가천바람개비,스마트보안학과,8,18.9,4.75,5.06,6
2025,수시,가천바람개비,인공지능학과,21,18.1,3.59,4.07,9
2025,수시,가천바람개비,의공학과,6,11.8,3.92,4.06,5
2025,수시,가천바람개비,운동재활학과,6,53.3,4.33,4.55,8
2025,수시,가천바람개비,바이오로직스학과,16,9.6,3.06,3.3,3
2025,수시,가천바람개비,간호학과,38,23.8,2.8,3.23,24
2025,수시,가천바람개비,치위생학과,6,16,3.9,4.09,3
2025,수시,가천바람개비,응급구조학과,4,116.5,4.11,4.35,0
2025,수시,가천바람개비,방사선학과,6,38.2,3.8,3.86,2
2025,수시,가천바람개비,물리치료학과,6,37.3,3.95,4.22,6
2025,수시,가천바람개비,반도체대학,32,9.6,3.7,3.95,16
2025,수시,가천바람개비,시스템반도체학과,7,9.6,3.78,3.88,4
2025,수시,학생부우수자,경영학과,18,9.6,2.76,2.92,43
2025,수시,학생부우수자,회계세무학과,7,11.7,2.9,2.92,19
