학년도,모집시기,모집전형,모집단위,모집인원,경쟁률,학생부등급(50%),학생부등급(70%),학생부등급(90%),예비순위
2026,수시,가천의약학,한의예과,5,35,-,-,1.99,1
2026,수시,가천의약학,약학과,12,48.17,2.39,2.69,3.63,8
2026,수시,가천의약학,의예과,16,39.31,1.71,1.81,2.33,12
2026,수시,가천바람개비,경영학과,24,41.04,3.6,3.9,4.15,9
2026,수시,가천바람개비,회계세무학과,10,15.6,3.52,3.53,3.97,5
2026,수시,가천바람개비,관광경영학과,8,37.75,3.66,3.76,3.9,3
2026,수시,가천바람개비,의료산업경영학과,6,15.83,3.85,3.87,3.96,1
2026,수시,가천바람개비,금융·빅데이터학부,12,15.42,3.37,3.51,3.87,4
2026,수시,가천바람개비,경제학과,10,28.3,3.51,3.83,3.94,4
2026,수시,가천바람개비,응용통계학과,7,14.71,3.51,3.55,3.58,10
2026,수시,가천바람개비,심리학과,7,49,3.18,3.28,3.32,11
2026,수시,가천바람개비,미디어커뮤니케이션학과,6,114.67,3.54,3.86,3.89,5
2026,수시,가천바람개비,사회복지학과,7,43.14,4.06,4.14,4.16,11
2026,수시,가천바람개비,유아교육학과,8,33.63,3.51,3.79,3.86,4
2026,수시,가천바람개비,패션산업학과,7,42.43,3.79,3.9,4.37,15
2026,수시,가천바람개비,AI인문대학,25,34.36,3.78,3.95,4.96,16
2026,수시,가천바람개비,법과대학,22,36.05,3.56,3.64,3.85,16
2026,수시,가천바람개비,도시계획·조경학부,7,30.86,4.03,4.15,4.39,2
2026,수시,가천바람개비,건축학부,8,39.5,3.55,3.94,4.41,3
2026,수시,가천바람개비,건축공학과,7,20.14,3.61,3.92,3.95,5
2026,수시,가천바람개비,화공생명배터리공학부,30,18.7,3.66,3.86,4.13,10
2026,수시,가천바람개비,기계공학부,18,35.72,3.62,3.95,4.11,4
2026,수시,가천바람개비,건설환경공학과,6,24.67,3.63,3.78,4.13,3
2026,수시,가천바람개비,스마트팩토리학과,7,15.29,4.04,4.06,4.22,3
2026,수시,가천바람개비,신소재공학과,6,20.67,3.18,3.54,3.59,2
2026,수시,가천바람개비,식품생명공학과,6,36.33,3.24,3.56,3.56,3
2026,수시,가천바람개비,바이오나노학과,6,24,3.01,3.15,3.26,3
2026,수시,가천바람개비,생명과학과,6,77,2.85,3.71,3.81,3
2026,수시,가천바람개비,반도체물리학과,13,13.69,4.31,4.34,4.88,11
2026,수시,가천바람개비,화학과,7,24.86,3.65,3.67,4,1
2026,수시,가천바람개비,식품영양학과,6,36.5,3.62,3.86,3.96,4
2026,수시,가천바람개비,전기공학과,9,16.89,3.37,3.45,3.93,1
2026,수시,가천바람개비,스마트시티학과,10,27.6,4.17,4.23,4.39,1
2026,수시,가천바람개비,클라우드공학과,7,14,3.38,3.42,3.55,2
2026,수시,가천바람개비,컴퓨터공학과,14,32.57,3.33,3.46,3.65,10
2026,수시,가천바람개비,(2026:정보보호학과) 스마트보안학과,7,45.29,3.9,4.05,4.55,5
2026,수시,가천바람개비,인공지능학과,13,25.38,3.62,3.74,3.95,9
2026,수시,가천바람개비,의공학과,6,19.33,3.51,3.61,3.73,1
2026,수시,가천바람개비,운동재활학과,7,65.14,3.71,3.92,4.13,4
2026,수시,가천바람개비,바이오로직스학과,15,11.8,3.19,3.33,3.69,7
2026,수시,가천바람개비,간호학과,33,28.18,2.79,2.88,3.28,12
2026,수시,가천바람개비,치위생학과,6,22.5,3.3,3.67,3.89,1
2026,수시,가천바람개비,응급구조학과,4,83,4.13,4.64,4.72,0
2026,수시,가천바람개비,방사선학과,6,42,3.05,3.05,3.09,0
2026,수시,가천바람개비,물리치료학과,6,62.67,3.31,3.48,3.48,2
2026,수시,가천바람개비,반도체대학,17,16.12,3.39,3.55,3.65,11
2026,수시,가천바람개비,시스템반도체학과,7,13.57,3.44,3.56,3.6,2
2026,수시,실기우수자,회화전공,30,8.07,4.92,5.6,6.19,1
2026,수시,실기우수자,조소전공,25,7.28,5.6,6,6.78,8
2026,수시,실기우수자,시각디자인전공,30,40.13,4.71,5,5.5,6
2026,수시,실기우수자,산업디자인전공,30,23.37,5.07,5.39,5.75,10
2026,수시,실기우수자,성악전공(남자),6,10.5,5.6,5.88,6,5
2026,수시,실기우수자,성악전공(여자),6,18.17,3.54,4.25,5.41,6
2026,수시,실기우수자,기악전공(Violin),7,8.57,3.34,4.3,5,17
2026,수시,실기우수자,기악전공(Viola),2,3,-,-,4.16,1
2026,수시,실기우수자,기악전공(V.Cello),3,4,-,-,4,2
2026,수시,실기우수자,기악전공(C.Bass),1,2,-,-,5.27,1
2026,수시,실기우수자,기악전공(Classic Guitar),1,10,-,-,3,1
2026,수시,실기우수자,기악전공(Flute),1,26,-,-,4,2
2026,수시,실기우수자,기악전공(Oboe),1,10,-,-,5.91,1
2026,수시,실기우수자,기악전공(Clarinet),1,13,-,-,4.09,1
2026,수시,실기우수자,기악전공(Bassoon),1,2,-,-,-,등록없음
2026,수시,실기우수자,기악전공(Horn),1,9,-,-,5.5,1
2026,수시,실기우수자,기악전공(Trumpet),1,22,-,-,5.9,1
2026,수시,실기우수자,기악전공(Tenor Trombone),1,7,-,-,5.3,1
2026,수시,실기우수자,기악전공(타악기),1,22,-,-,4.91,0
2026,수시,실기우수자,기악전공(피아노),9,19.11,4.91,5.32,5.38,13
2026,수시,실기우수자,작곡전공 ,7,6.71,6.4,6.6,6.97,22
2026,수시,실기우수자,체육전공 ,40,59.1,5.03,5.3,5.56,5
2026,수시,실기우수자,태권도전공 ,30,21.73,6.48,6.8,7.38,34
2026,수시,실기우수자,연기예술학과(연기),24,80.08,5.41,5.92,6.29,12
2026,수시,기회균형,경영학과,4,31.5,3.6,3.86,4.2,5
