지점,지점명,년,평균기온(°C),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),평균 상대습도(%),평균 풍속(m/s)
108,서울,1907,,5.8,15.7,126.6,69.9,
108,서울,1908,10.4,,16,1066.3,70.9,3.2
108,서울,1909,10.6,5.8,,827,69.3,3.3
108,서울,1910,10.3,5.7,15.9,1020.9,69.9,3
108,서울,1911,10.6,6,15.9,1067,72,3.1
108,서울,1912,10.1,5.1,15.6,1129.3,69.4,2.8
108,서울,1913,10,4.9,15.6,917.5,71.5,2.5
108,서울,1914,12,7.7,17,1262.6,71.7,2.5
108,서울,1915,10.8,6.6,15.8,1578.3,71.9,2.4
108,서울,1916,10.9,6.4,16.5,1710.3,72.9,2.5
108,서울,1917,9.8,4.8,15.5,981.7,70.9,2.5
108,서울,1918,10.5,5.6,16.1,1132.3,72.3,2.4
108,서울,1919,11.1,6,16.8,1176.3,72.2,2.3
108,서울,1920,11.4,6.3,16.9,1674.4,72.3,2.4
108,서울,1921,10.9,6.1,16.4,971.9,69.8,2.4
108,서울,1922,10.8,5.9,16.3,1552.8,71,2.3
108,서울,1923,10.6,5.7,15.9,1194.7,70.3,2.4
108,서울,1924,11,5.8,16.6,1001,67.3,2.7
108,서울,1925,10.7,5.8,15.9,1934.1,70.4,2
108,서울,1926,10.5,5.6,15.6,1822.5,70.3,1.9
108,서울,1927,11,5.9,16.3,1269.7,70.2,2
108,서울,1928,11.1,5.9,16.6,1054.3,68.7,1.9
108,서울,1929,11.4,6.2,17.3,1130.2,68.6,1.9
108,서울,1930,11.8,6.6,17.4,1626.6,70.5,1.9
108,서울,1931,10.9,6.3,16.7,1388.3,71.8,1.8
108,서울,1932,11.6,7.2,17.5,941.2,70.6,1.9
108,서울,1933,10.5,6.4,15.5,1400.8,68,2.8
108,서울,1934,10.1,5.8,15.1,1244.6,68.3,2.9
108,서울,1935,11.2,6.6,16.7,1202.3,66.3,2.9
108,서울,1936,9.8,5.3,15.1,1531.6,68.3,2.9
108,서울,1937,11.4,6.9,16.8,1062.7,67.9,2.6
108,서울,1938,10.9,6.4,16.3,1058.8,69,2.7
108,서울,1939,11.7,6.7,17.6,638.7,66.8,2.7
108,서울,1940,10.8,6,16.3,2145.1,68.3,2.8
108,서울,1941,11.1,6.3,16.8,1063.7,70.2,2.6
108,서울,1942,10.9,5.9,16.6,1131,67.3,2.6
108,서울,1943,11.7,6.4,17.8,642.9,66.8,2.5
108,서울,1944,10.9,6,16.6,1089.1,68.8,2.4
108,서울,1945,10.4,5.7,16,1561.7,71.4,2.4
108,서울,1946,11.3,6.6,16.9,1519.4,72.6,2.3
108,서울,1947,9.6,5,14.8,1496.4,69.9,2.5
108,서울,1948,11.7,6.9,17.3,1473.3,71.4,2.2
108,서울,1949,11.7,7.4,17.2,623.5,,
108,서울,1950,,,,798.2,69.1,
108,서울,1951,,,,48.3,,2.4
108,서울,1952,,,,1073.9,,
108,서울,1953,,7.1,16.6,1372.2,71.5,2.2
108,서울,1954,11.4,,,1385.8,72.3,2.5
108,서울,1955,11.4,7.1,16.7,1230.7,70.1,2.5
108,서울,1956,10.1,5.8,15,1701.1,69.3,2.4
108,서울,1957,10.4,6.1,15.7,1220.3,70.9,2.4
108,서울,1958,11.6,7.3,16.7,1325.4,69.8,2.2
108,서울,1959,12,7.9,17,1370.8,69.9,2.3
108,서울,1960,12.1,7.8,17,1188.4,67.7,2.2
108,서울,1961,12.4,8.1,17.2,1436.6,69.9,2.2
108,서울,1962,11.7,7.3,16.5,986.2,68.6,2.2
108,서울,1963,11.3,7.2,16,1626.6,70.7,2.5
108,서울,1964,12.2,8.4,16.7,1794,70.3,2.3
108,서울,1965,11.4,7,16.4,1216.3,67.7,2.6
108,서울,1966,11.5,7.4,16.3,2018.9,68.8,2.5
108,서울,1967,11.6,7.7,16.5,1248.8,69.1,2.5
108,서울,1968,11.8,7.6,16.8,1288.2,69.3,2.6
108,서울,1969,10.9,7,15.4,1736.8,70.7,2.6
108,서울,1970,11.4,7.5,16.1,1708.2,69.8,2.5
108,서울,1971,11.5,7.8,16.1,1359.7,71.3,2.5
108,서울,1972,11.9,8,16.5,1769.6,73.6,2.6
108,서울,1973,12,8.2,16.8,928.1,71.8,2.6
108,서울,1974,11.1,7.2,15.9,1250.7,70.2,2.5
108,서울,1975,12.5,8.6,17.4,1067.4,67.5,2.3
108,서울,1976,11.5,7.4,16.4,1109.5,66,2.4
108,서울,1977,12.3,8.1,17.3,1147.5,68,2.3
108,서울,1978,12.4,8.4,17.2,1160.9,67.1,2.3
108,서울,1979,12.5,8.6,17.2,1279.4,69.3,2.5
108,서울,1980,10.8,6.8,15.7,1242.4,67.6,2.6
108,서울,1981,11.2,7.2,15.8,1216.2,67.9,2.6
108,서울,1982,12.5,8.3,17.4,949.3,65.4,2.5
108,서울,1983,12.4,8.3,16.9,1205.1,65.5,2.5
108,서울,1984,11.6,7.6,16.5,1249.5,66,2.5
108,서울,1985,11.6,7.7,16.2,1544.6,70.4,2.5
108,서울,1986,11.2,7.4,15.7,1247.4,69.4,2.4
108,서울,1987,11.9,7.9,16.4,1751.4,67.5,2.5
108,서울,1988,12.1,8,16.8,760.8,61.3,2.5
108,서울,1989,13,9,17.5,1437.1,66.2,2.4
108,서울,1990,12.8,9,17.1,2355.5,71.3,2.4
108,서울,1991,12.3,8.2,17,1158.2,65.7,2.3
108,서울,1992,12.5,8.5,16.9,1454.9,67.4,2.2
108,서울,1993,12,8.1,16.7,1292.7,67.5,2.4
108,서울,1994,13.5,9.5,18.3,1055.8,64.9,2.3
108,서울,1995,12.2,8.2,16.7,1598.6,63.5,2.3
108,서울,1996,12.2,8.3,16.8,1256.6,61.5,2.2
108,서울,1997,12.9,8.7,17.7,1210.2,61.9,2.3
108,서울,1998,13.8,9.8,18.4,2349.1,64.9,2.2
108,서울,1999,13.2,9,17.8,1733.1,65.3,1.9
108,서울,2000,12.7,8.6,17.1,1186.8,63.8,2.2
108,서울,2001,12.8,8.9,17.3,1386,60.8,1.8
108,서울,2002,12.9,9.1,17.2,1388,62.2,2.1
108,서울,2003,12.8,9.2,17,2012,64.7,2
108,서울,2004,13.3,9.5,17.7,1499.1,62.1,2.4
108,서울,2005,12.1,8.4,16.4,1358.4,60.4,2.5
108,서울,2006,13,9.3,17.2,1681.9,60.8,2.4
108,서울,2007,13.3,9.7,17.5,1212.3,62.3,2.4
108,서울,2008,12.9,9.1,17.3,1356.3,59.4,2.4
108,서울,2009,12.9,9.1,17.2,1564,61.1,2.4
108,서울,2010,12.1,8.5,16.3,2043.5,63.1,2.5
108,서울,2011,12,8.4,16.4,2039.3,59.7,2.7
108,서울,2012,12.2,8.5,16.7,1646.3,56.6,2.8
108,서울,2013,12.5,8.7,16.9,1403.8,60,2.8
108,서울,2014,13.4,9.3,18.3,808.9,62.8,2.6
108,서울,2015,13.6,9.3,18.7,792.1,60,2.7
108,서울,2016,13.6,9.4,18.5,991.7,59.2,2.3
108,서울,2017,13,8.8,18.1,1233.2,57.8,2.2
108,서울,2018,12.9,8.8,17.9,1284.1,57.5,1.7
108,서울,2019,13.5,9.3,18.5,891.3,56.8,2
108,서울,2020,13.2,9.4,17.9,1651.1,63.4,2.4
108,서울,2021,13.7,9.6,18.5,1186.5,65.7,2.3
108,서울,2022,20.1,9.2,18,1775.3,64.4,2.4
108,서울,2023,14.1,10,18.7,1598.8,66.8,2.3
108,서울,2023,14.2,10,18.7,1598.8,66.8,2.3
108,서울,2024,14.9,11,19.5,1311.4,66,2.3
108,서울,2025,14.1,10.1,18.6,1582.4,65.9,2.3
108,서울,2025,14.1,10.1,18.6,1582.4,65.9,2.3
